               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               5.721,              5.8298,              5.2021,                   0,                   0,                   0,                   0,                   0,                   0,                   0,              0.0991,              0.0001,              0.0001
                   1,              5.9958,              5.7846,              5.2088,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.097241,           0.0002406,           0.0002406
                   2,              6.5722,              5.8586,              5.2018,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.095302,            0.000302,            0.000302
                   3,              5.7901,              5.8147,                5.21,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.093284,           0.0002842,           0.0002842
                   4,              6.2582,              5.7063,              5.1821,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.091187,           0.0001872,           0.0001872
